id,formula,n_atoms,theta,lam,omega
agm016497480,PmPrY,3,7.32,0.295,221.21
agm019409418,CeYRhAu,4,124.83,1.2631,261.0
agm004797243,CaEr(SnPd2)2,8,73.25,0.7514,273.35
agm068701219,CaGa2Ni,8,94.9,0.705,399.57
agm052351728,CaHo3Tl4,8,24.29,0.5023,192.84
agm033805685,Nd4Mg2AlGa,8,36.88,0.5174,268.81
agm123672342,Ce2PuSe2S,6,150.09,1.498,280.4
agm118133649,InNi3BiS2,7,78.06,0.6169,395.64
agm004827457,Rb2DyNpS4,8,166.18,1.5668,318.21
agm063321239,CsBaNpS4,7,170.76,1.6288,296.06
agm040157328,Pa4SbTeS2,8,85.36,0.9948,245.88
agm056210525,Dy4Cu3Ru,8,57.1,0.6727,258.56
agm064612154,Hf4CuRe3,8,37.52,0.5586,229.11
agm002207542,Eu(CuAs)2,5,70.56,0.634,333.82
agm100456561,CePa2BiO4,8,162.01,1.6983,299.87
agm042168494,HfMg2Pt3,6,66.2,0.7519,256.6
agm034021515,Mg(NpRh)2,5,65.88,0.7734,256.54
agm015601609,TmMg3Ag4,8,72.92,0.6693,315.68
agm051085130,PrTi(CuSn)2,6,60.15,0.5957,312.26
agm046448306,Ti4VRu3,8,58.49,0.5396,380.39
agm005916607,Ti4RuRh3,8,72.81,0.6229,360.27
agm054061985,Ti3InRh4,8,67.7,0.6382,342.08
agm122265354,TiNb2Zn,8,10.17,0.2854,344.79
agm035813403,Hf2TiZn3,6,28.96,0.4197,297.34
agm006040968,SnBi3Sb4,8,7.24,0.2911,223.47
agm022963220,Pr4Nd2Tm,7,6.63,0.2839,205.62
agm024532301,Pr3NdSm4,8,4.99,0.2732,199.97
agm005205712,PmPrPtAu,4,104.32,1.2873,221.72
agm142374646,Tb2PmPr3,6,4.56,0.2635,204.42
agm151055349,Pr5Nd2Er,8,5.78,0.2778,206.98
agm069748119,PrNd4Ho,6,5.69,0.28,202.4
agm035709807,Li2FeSiRh4,8,133.77,0.8963,417.6
agm001154190,Tm2AlIn,4,31.21,0.4987,240.21
agm004745751,SrLi2AcP2,6,150.22,0.985,369.31
agm084281667,LiPuF6,8,445.2,2.815,637.07
agm032246925,LiAl(SiRh2)2,8,97.65,0.7294,418.44
agm129206347,LiEr2ScSe4,8,164.84,1.4605,335.62
agm006013858,Li3PaSe4,16,202.8,1.546,377.01
agm004805969,LiPm2ThHg4,8,51.09,0.744,199.93
agm003560468,Tb3ScAs4,8,136.57,1.1635,305.93
agm052207102,CaTb(SiAu)2,6,126.05,1.144,290.47
agm004752481,AcPm(SiNi)2,6,80.73,0.727,321.43
agm004752416,PmY(SiNi)2,6,88.69,0.691,384.28
agm004854000,Sm4SiPtBr2,8,125.66,1.4695,258.55
agm001200516,LaTbCd2,4,34.91,0.5534,218.76
agm129312218,V5Cr3,8,9.38,0.2607,462.04
agm006423248,Nd2Sc2Si2H,7,139.54,0.9217,393.97
agm007044764,NdThHC,4,169.88,1.2895,346.85
agm006592469,DyPuH5,7,114.37,0.7216,481.45
agm001618780,NiSbHRh2,5,34.99,0.4075,427.33
agm004810747,Ac4GeSb2Te,8,77.2,1.1072,204.99
agm018464585,Ho4ZnPtAu2,8,74.57,0.9788,215.45
agm104712955,Lu(ZnAu)2,5,85.32,0.9906,267.37
agm044643200,Np2ZnGe5,8,46.33,0.5695,281.03
agm001349313,PmNdZnAg,4,53.51,0.6428,241.06
agm005763892,LaPrZn4,6,53.75,0.5844,301.73
agm152010743,SmZn4Ag,6,41.64,0.478,326.16
agm046609197,DyTh(ZnHg)2,6,47.24,0.6448,227.22
agm022814673,Sr2Dy(AlZn)2,7,61.84,0.5697,334.27
agm018799849,Nd4AsP2S,8,144.98,1.2805,314.07
agm002249281,ScAl5Ir,7,45.19,0.4475,428.71
agm020196537,CeThPdPt,4,97.35,1.0701,224.89
agm090317030,CsK2Rb,8,4.38,0.259,210.9
agm048088829,NdTl(PAu)2,6,84.08,0.946,254.42
agm040247466,Pm2MgTlAu4,8,89.99,1.1234,217.42
agm013688227,NaTlPb,6,74.52,0.95,213.84
agm118186418,NaTbSmTmTe4,8,107.69,1.1387,248.55
agm005773315,PaNbRh6,8,50.12,0.5785,293.1
agm086999261,Sm4GaHg3,8,46.5,0.6708,200.08
agm006103320,Pr4GaPt3,8,97.75,1.0895,236.68
agm055042837,Li2ThTlAu2,6,102.14,1.1668,247.25
agm033200234,Sc2Mo3W,6,78.94,0.736,305.18
agm135857868,LiCa6Mg,8,17.47,0.321,407.1
agm082159981,LiYbZn4,6,79.18,0.6222,361.13
agm035827213,LiNd4ZnCd2,8,42.8,0.5837,244.24
agm005856373,Np2TeF4,7,175.72,1.6426,328.98
agm027859325,AgRuF5,7,366.05,1.933,641.41
agm077730323,Nd4SiTe2Br,8,115.47,1.2625,258.53
agm002242965,GdSi3Pt,5,81.07,0.7026,336.58
agm038247664,Th4SiSeS2,8,119.91,1.2423,260.21
agm095884246,CeHo2ScSe4,8,147.25,1.4335,303.23
agm005188691,ZrScCuTc,4,53.81,0.5421,342.98
agm140525309,ErSc2TlAg2,6,48.88,0.6185,260.97
agm005180650,AcAgSbH,8,65.24,0.7051,278.63
agm077651430,Ti4TcMo,6,45.93,0.442,397.44
agm108599764,TiV5Mo2,8,46.97,0.4534,409.29
agm003553630,K4Cd3Hg,8,89.73,0.9442,267.08
agm003769800,Pr6NdTm,8,5.45,0.2792,206.83
agm002182582,BaYAgS3,12,158.54,1.3078,354.41
agm005213932,NbCoNiPt,4,55.64,0.5605,331.59
agm069373740,Ac5Pr,6,3.2,0.2575,155.15
agm014440797,Pr6Dy,7,5.17,0.2731,207.48
agm069931735,TbPm4Pr,6,3.95,0.2575,202.12
agm082117063,Pm4Pr3Tm,8,5.46,0.2725,202.62
agm153987374,Pr2NdSm,8,4.88,0.2665,204.19
agm036059130,Mg4CdHgAu2,8,91.15,0.8793,288.57
agm015761456,Ce2Nd2SmRh2,7,96.22,1.055,250.47
agm066467532,ErTmMgTl,4,17.59,0.4043,213.16
agm056859360,Mg3CdHg4,8,38.46,0.5733,249.32
agm036522739,CaPm2MgZn4,8,51.81,0.5574,310.17
agm003610871,TmMgNi,6,52.44,0.5611,325.54
agm003195930,NaLa2Se3,6,158.94,1.606,308.62
agm004765686,Na2MnSnS4,8,230.76,1.3638,493.04
agm001144751,NaEu2Hg,4,38.52,0.5833,207.81
agm004999653,NdHoBiO2,5,138.24,1.603,270.64
agm103060947,TmLu,4,3.86,0.259,194.33
agm081744457,Sm3Al2Zn,6,35.31,0.4883,266.89
agm002195285,NdAl2Ir,8,76.53,0.7006,309.62
agm032631572,AlAg2Au3,6,55.72,0.6684,258.69
agm004803129,Dy4Al2ZnIn,8,36.57,0.5118,252.34
agm005185988,NdTmZnAu,4,59.6,0.767,222.12
agm098443055,SmZn2GePt,5,67.41,0.6807,289.41
agm147968979,PmPrZnAg,4,46.48,0.6254,242.18
agm135942885,TbSm2Ho3,6,6.19,0.2875,194.13
agm005205568,NdErGaPt,4,92.24,0.9762,245.12
agm047330266,V4Cr3Ir,8,31.83,0.392,397.9
agm143881821,MnV4Mo,6,42.9,0.433,422.57
agm005857096,Ce2TeH4,7,108.0,0.8038,441.32
agm005725423,CdH2Ir,4,52.42,0.4887,401.53
agm048413576,MnGa(CuPd2)2,8,52.59,0.5288,348.83
agm005215033,PrTlHgBi,4,45.62,0.7075,188.62
agm024259782,Pm2Nd2Sm2Dy,7,5.66,0.2834,197.74
agm020128398,Pm2Nd4DyHo,8,6.55,0.2928,199.0
agm004742607,TbTm(NiGe)2,6,85.67,0.751,319.18
agm082901891,Nd2SmEr,8,6.06,0.2875,198.37
agm035526598,Nd7Dy,8,4.6,0.265,203.85
agm002227124,TmNiGe,12,78.01,0.6922,315.31
agm021596208,Nd4DyHo3,8,6.04,0.2905,197.57
agm004826102,PrTm(PuSe2)2,8,133.21,1.4335,257.02
agm025974383,CeHo(PuSe2)2,8,129.76,1.4402,258.0
agm139602911,LuPu3Se4,8,117.76,1.3952,249.15
agm121056470,TbPm5Ho2,8,5.38,0.2781,198.36
agm153296229,CePm2GdP4,8,135.71,1.1905,326.36
agm096289787,NpSI2,8,126.32,1.318,262.66
agm110031233,Tb2CeThS4,8,165.25,1.5325,312.98
agm030193796,La4YHoEr2,8,8.07,0.3119,203.84
agm013728863,PmYHo2,4,6.23,0.289,207.48
agm003764805,PmNd6Y,8,5.23,0.2702,208.88
agm013094111,Pr4YEr3,8,7.64,0.2995,207.54
agm118772474,Sm6DyY,8,4.83,0.2688,200.54
agm045553034,PmPr4Dy2Y,8,6.53,0.2871,209.15
agm099707898,Pm2Nd4YEr,8,6.31,0.2875,207.52
agm031229279,PmPr4NdY2,8,5.56,0.2721,218.62
agm150236592,TbPm4Sm2Y,8,5.8,0.2815,204.92
agm125025182,Pm(Sm2Y)2,7,4.67,0.2616,211.01
agm118929209,Ba4SbTeIBr,8,116.3,1.6473,227.13
agm001204603,EuBi2Pb,4,49.73,0.7585,181.18
agm026139579,Pr2SmPuSb4,8,87.7,1.0353,232.55
agm055136541,TbTh2BiSb2,6,76.19,0.976,209.27
agm024535759,CeTm2ThSb4,8,82.8,0.988,230.96
agm013603530,Ce2HoPuBi4,8,74.49,0.9993,200.09
agm091041993,Ce5Th,6,7.53,0.304,211.18
agm067414151,PrZrNi2,8,94.17,0.754,338.61
agm004751579,CeTa(NiGe)2,6,63.52,0.6413,324.13
agm153591172,LuCuNi4,6,42.91,0.4677,379.8
agm005775940,AcHoIn6,8,34.21,0.5267,226.23
agm151762777,KH2Cl2F,12,579.83,1.912,924.16
agm018566689,Ca2CeNdIn4,8,52.49,0.6428,246.01
agm039368015,CaSm(TmPd2)2,8,73.93,0.823,251.68
agm007314857,Pr2HIN,5,128.33,1.1942,314.41
agm081457094,Ca2InGa,8,71.86,0.678,316.49
agm004795463,Pm2TmCdAu4,8,86.93,1.1304,210.72
agm110598932,ReMoIr6,8,12.14,0.3265,243.29
agm126773952,SmEr3Cu4,8,51.14,0.6052,260.44
agm036856848,Zr3Cu2Re,6,44.36,0.5431,297.85
agm100002117,GdEr3Cu2,6,38.36,0.5257,237.79
agm013153819,DyPd6Au,8,44.03,0.547,278.4
agm002417415,Sc3BeO,5,267.84,1.2805,606.17
agm037434154,LaTb(DyBi2)2,8,81.55,1.024,204.47
agm046377370,La4TbSmEr2,8,6.64,0.2946,198.16
agm067975665,LaErAu2,8,99.85,1.3289,215.08
agm104047303,LaPm6Nd,8,4.3,0.259,202.65
agm044742241,La3Tb4Pr,8,4.17,0.2556,201.68
agm039029630,La4Pm2PrDy,8,5.94,0.2804,202.28
agm155677468,PrYNpPaP4,8,113.07,1.0487,310.49
agm001229424,PuTl2Bi,4,34.32,0.583,176.64
agm004839929,Tb2PrUAs4,8,118.77,1.1523,272.56
agm144382870,Ac4BiTeAsSe,8,90.82,1.2512,205.06
agm042423310,NdHo(InRh2)2,8,70.73,0.7749,265.8
agm157658110,HoErAg,6,28.69,0.5089,212.96
agm004669774,Cs3Rb(ZnH4)2,14,223.44,1.2576,492.43
agm082819505,Cd4RhAu,6,70.8,0.7425,279.45
agm156279502,ThAgRh,6,65.05,0.7792,242.18
agm070081038,HgPtI6,8,65.78,0.718,256.51
agm043954589,CeNd(TmHg2)2,8,45.3,0.6897,190.31
agm001084298,Hg4PtI2,7,44.41,0.5875,247.5
agm032929234,Er2MgTlHg4,8,50.31,0.6944,206.27
agm001152148,HoLu2Mg,4,6.16,0.274,224.55
agm121133762,TbPm2Mg,8,9.39,0.3175,229.11
agm005182646,SmYMgAg,4,44.09,0.5556,273.32
agm105732380,AcNdGdMg,4,8.79,0.3128,207.17
agm035544401,Tb2SmYBi4,8,82.62,1.0353,210.99
agm005611222,PmDyMg,6,11.63,0.331,236.49
agm005771755,Ti2Mn3W,6,38.02,0.4274,377.01
agm005574759,Ti2(ZnAu)3,8,71.94,0.7418,289.59
agm011431449,Er2Fe2NiGe3,8,59.11,0.595,337.3
agm026219840,ZnFe(CuPd2)2,8,41.14,0.4763,347.88
agm138274561,TbPm3Pr3Sm,8,4.74,0.2657,203.05
agm019032828,PrSmIrPt,4,90.1,1.1174,227.75
agm001220503,Pm2PrTm,4,7.29,0.304,199.39
agm005113899,NaNpS2,4,172.9,1.5415,344.19
agm110938168,Pr2Nd3SmDy2,8,5.77,0.2834,201.75
agm009810805,Pr2Nd3Tm2,7,7.32,0.3061,200.0
agm009283526,Pr2Nd3Tm2,7,7.71,0.3057,200.08
agm120981008,TbPm4Pr2Ho,8,5.44,0.2744,201.77
agm002387843,YbPrBi,6,49.56,0.745,193.44
agm138658040,Pm4PrNdSmDy,8,5.58,0.28,200.18
agm015337990,Pr2Dy3,5,6.45,0.2932,199.91
agm083158536,SrLiSnPd2,5,115.15,0.9717,315.54
agm004795695,LiCe(CdHg2)2,8,58.42,0.7323,228.05
agm004751688,AcHo(ZnGe)2,6,79.44,0.757,279.83
agm004743522,LiTh(SiPd)2,6,111.59,0.9187,346.6
agm003742484,CoPtSe4,6,85.67,0.673,373.17
agm020579700,PrSiAsIr,8,94.63,0.8593,297.71
agm146258254,DySc2In,8,35.06,0.481,284.42
agm041662372,Dy(ScGa2)2,7,67.86,0.6076,343.86
agm012950189,ThSc(SbRh)2,6,75.97,0.8199,272.95
agm004833795,Ce2ErScTe4,8,107.49,1.051,256.61
agm017220656,ZrScZn,6,23.28,0.375,354.05
agm031306981,Tb2SmScZn4,8,47.37,0.5511,280.44
agm042954191,Er2TmScRh4,8,72.28,0.799,264.54
agm034276555,Tb4PrY2Tm,8,8.44,0.3062,211.33
agm038759038,Sm2TmScAg4,8,51.18,0.6463,244.22
agm128916650,CeYHoScAs4,8,130.68,1.1028,321.59
agm100706511,PrEuCd6,8,31.25,0.4863,243.85
agm042331853,Nd4Cd3Au,8,56.56,0.7172,218.44
agm005774408,Tb4SmCd,6,14.85,0.382,206.17
agm069236479,Pm2CdIr,8,68.14,0.9061,233.12
agm092068465,EuInAg2Ge,5,42.68,0.5456,275.15
agm069641037,DyHo6Tm,8,3.95,0.2568,192.54
agm103886770,Pu4HgAu3,8,73.77,1.0843,188.85
agm016757100,Pu2ZnCd3,6,31.04,0.493,228.93
agm095292831,Tb4Sm3Er,8,7.71,0.3051,196.27
agm015295618,Tb2SmHo,4,7.28,0.304,196.53
agm007080352,TbPHRh,4,84.34,0.6001,474.68
agm005801685,USiRh5,7,57.66,0.5778,308.43
agm017548285,Tb2DyErAl4,8,39.68,0.5039,276.7
agm015209278,Er2Al3Ag,6,49.75,0.5503,309.86
agm003438078,Er3Zn2Ir,6,47.92,0.5952,237.19
agm039158402,Er2ZnIr3,6,57.78,0.716,236.83
agm089185288,DyY3Al2,6,32.83,0.4645,296.07
agm037545941,Ho2ErAl3,6,28.76,0.4446,274.38
agm046322269,Zr4Zn3Hg,8,46.41,0.5207,303.54
agm141455334,ErLuAl,6,25.99,0.455,243.16
agm048769402,CePa(AlPt2)2,8,77.29,0.8085,246.98
agm016367687,HoEr3Al4,8,27.61,0.4425,274.31
agm059604274,NaDyHgPb,4,70.56,0.8903,208.99
agm014541340,Na6CdPb,8,95.17,0.7854,332.74
agm110326018,NaPmDyScSe4,8,167.36,1.501,327.85
agm047150588,LaTh3In4,8,38.23,0.583,203.7
agm017065815,TbPm2ThIn4,8,42.29,0.634,217.82
agm002169040,Gd2NiRu,4,71.62,0.7456,259.72
agm037864465,Zn3CuNi2,6,30.75,0.3833,418.82
agm003407125,Pu2BiBr2,5,102.16,1.339,220.36
agm131764132,Ac2PrNd(BiSb)2,8,82.35,1.0757,202.56
agm048015259,ErTm2PuSb4,8,85.35,0.9655,230.67
agm047586585,La2TbPuTe4,8,96.0,1.1095,229.37
agm087904316,La4SnSbSe2,8,129.65,1.3097,257.6
agm137345012,LaPmErPuSe4,8,141.35,1.4762,266.75
agm069793242,PuZrAg4,6,54.54,0.625,256.95
agm001152722,PmZrRh2,4,81.58,0.8385,274.8
agm105803734,GdYS2,8,175.19,1.3882,358.52
agm012484743,La3TbS4,8,178.14,1.582,327.8
agm004829993,CaNd2DyS4,8,186.69,1.5595,354.74
agm077900592,CaTb2DyS4,8,189.58,1.5775,353.09
agm090614181,Ac2La4SmY,8,6.33,0.2927,189.49
agm042889016,CuPd2PtS4,8,96.19,0.6415,442.27
agm033356891,Pm3Hg2Au,6,60.37,0.8594,194.05
agm128143808,PmDy5Ho2,8,4.72,0.2699,194.52
